Congress,Senate Total,Senate Dems,Senate Reps,House Total,House Dems,House Reps,President Name,President Party
100,100,55,45,435,258,177,George Bush,R
101,100,55,45,435,260,175,George Bush,R
102,100,56,44,435,267,167,Bill Clinton,D
103,100,57,43,435,258,176,Bill Clinton,D
104,100,48,52,435,204,230,Bill Clinton,D
105,100,45,55,435,207,226,Bill Clinton,D
106,100,45,55,435,211,223,Bill Clinton,D
107,100,50,50,435,212,221,George W. Bush ,R
108,100,48,51,435,205,229,George W. Bush ,R
109,100,44,55,435,202,231,George W. Bush ,R
110,100,49,49,435,233,198,George W. Bush ,R
111,100,57,41,435,256,178,Barack Obama,D
112,100,51,47,435,193,242,Barack Obama,D
113,100,54,45,435,201,234,Barack Obama,D
114,100,44,54,435,188,246,Barack Obama,D
